Series_Title,Genre,IMDB_Rating,Meta_score,No_of_Votes,Runtime,Genre_Name
La double vie de Véronique,0,7.8,0.86,42376,98,Drama
Boyz n the Hood,1,7.8,0.76,126082,112,Crime
Misery,0,7.8,0.75,184740,107,Drama
Awakenings,3,7.8,0.74,125276,121,Biography
Majo no takkyûbin,7,7.8,0.83,124193,103,Animation
Glory,3,7.8,0.78,122779,122,Biography
Dip huet seung hung,2,7.8,0.82,45624,111,Action
Back to the Future Part II,6,7.8,0.57,481918,108,Adventure
Mississippi Burning,1,7.8,0.65,88214,128,Crime
Predator,2,7.8,0.45,371387,107,Action
Evil Dead II,2,7.8,0.72,148359,84,Action
Ferris Bueller's Day Off,5,7.8,0.61,321382,103,Comedy
Down by Law,5,7.8,0.75,47834,107,Comedy
The Goonies,6,7.8,0.62,244430,114,Adventure
The Color Purple,0,7.8,0.78,78321,154,Drama
The Breakfast Club,5,7.8,0.66,357026,97,Comedy
The Killing Fields,3,7.8,0.76,51585,141,Biography
Ghostbusters,2,7.8,0.71,355413,105,Action
The Right Stuff,6,7.8,0.91,56235,193,Adventure
The King of Comedy,5,7.8,0.73,88511,109,Comedy
E.T. the Extra-Terrestrial,12,7.8,0.91,372490,115,Family
Kramer vs. Kramer,0,7.8,0.77,133351,105,Drama
Days of Heaven,0,7.8,0.93,52852,94,Drama
The Outlaw Josey Wales,4,7.8,0.69,65659,135,Western
The Man Who Would Be King,6,7.8,0.91,44917,129,Adventure
The Conversation,0,7.8,0.85,98611,113,Drama
La planète sauvage,7,7.8,0.73,25229,72,Animation
The Day of the Jackal,1,7.8,0.8,37445,143,Crime
Badlands,2,7.8,0.93,66009,94,Action
Cabaret,0,7.8,0.8,48334,124,Drama
Willy Wonka & the Chocolate Factory,12,7.8,0.67,178731,100,Family
Midnight Cowboy,0,7.8,0.79,101124,113,Drama
Wait Until Dark,13,7.8,0.81,27733,108,Thriller
Guess Who's Coming to Dinner,5,7.8,0.63,39642,108,Comedy
Bonnie and Clyde,2,7.8,0.86,102415,111,Action
My Fair Lady,0,7.8,0.95,86525,170,Drama
Mary Poppins,5,7.8,0.88,158029,139,Comedy
The Longest Day,2,7.8,0.75,52141,178,Action
Jules et Jim,0,7.8,0.97,37605,105,Drama
The Innocents,8,7.8,0.88,27007,100,Horror
À bout de souffle,1,7.8,0,73251,90,Crime
Red River,2,7.8,0,28167,133,Action
Key Largo,2,7.8,0,36995,100,Action
To Have and Have Not,6,7.8,0,31053,100,Adventure
Shadow of a Doubt,10,7.8,0.94,59556,108,Film-Noir
Stagecoach,6,7.8,0.93,43621,96,Adventure
The Lady Vanishes,9,7.8,0.98,47400,96,Mystery
Bringing Up Baby,5,7.8,0.91,55163,102,Comedy
Bride of Frankenstein,0,7.8,0.95,43542,75,Drama
Duck Soup,5,7.8,0.93,55581,69,Comedy
Scarface: The Shame of the Nation,2,7.8,0.87,25312,93,Action
Frankenstein,0,7.8,0.91,65341,70,Drama
Roma,0,7.7,0.96,140375,135,Drama
God's Own Country,0,7.7,0.85,25198,104,Drama
Deadpool 2,2,7.7,0.66,478586,119,Action
Wind River,1,7.7,0.73,205444,107,Crime
Get Out,8,7.7,0.85,492851,104,Horror
Mission: Impossible - Fallout,2,7.7,0.86,291257,147,Action
En man som heter Ove,5,7.7,0.7,47444,116,Comedy
What We Do in the Shadows,5,7.7,0.76,157498,86,Comedy
Omoide no Mânî,7,7.7,0.72,32798,103,Animation
The Theory of Everything,3,7.7,0.72,404182,123,Biography
Kingsman: The Secret Service,2,7.7,0.6,590440,129,Action
The Fault in Our Stars,0,7.7,0.69,344312,126,Drama
Me and Earl and the Dying Girl,5,7.7,0.74,123210,105,Comedy
Birdman or (The Unexpected Virtue of Ignorance),5,7.7,0.87,580291,119,Comedy
La vie d'Adèle,0,7.7,0.89,138741,180,Drama
Kai po che!,0,7.7,0.4,32628,130,Drama
The Broken Circle Breakdown,0,7.7,0.7,39379,111,Drama
Captain America: The Winter Soldier,2,7.7,0.7,736182,136,Action
Rockstar,0,7.7,0,39501,159,Drama
Nebraska,6,7.7,0.87,112298,115,Adventure
Wreck-It Ralph,7,7.7,0.72,380195,101,Animation
Le Petit Prince,7,7.7,0.7,56720,108,Animation
Detachment,0,7.7,0.52,77071,98,Drama
Midnight in Paris,5,7.7,0.81,388089,96,Comedy
The Lego Movie,7,7.7,0.83,323982,100,Animation
Gravity,0,7.7,0.96,769145,91,Drama
Star Trek Into Darkness,2,7.7,0.72,463188,132,Action
Beasts of No Nation,0,7.7,0.79,73964,137,Drama
The Social Network,3,7.7,0.95,624982,120,Biography
X: First Class,2,7.7,0.65,645512,131,Action
The Hangover,5,7.7,0.73,717559,100,Comedy
Skyfall,2,7.7,0.81,630614,143,Action
Silver Linings Playbook,5,7.7,0.81,661871,122,Comedy
Argo,3,7.7,0.86,572581,120,Biography
(500) Days of Summer,5,7.7,0.76,472242,95,Comedy
Harry Potter and the Deathly Hallows: Part 1,6,7.7,0.65,479120,146,Adventure
Gake no ue no Ponyo,7,7.7,0.86,125317,101,Animation
Frost/Nixon,3,7.7,0.8,103330,122,Biography
Papurika,7,7.7,0.81,71379,90,Animation
Changeling,3,7.7,0.63,239203,141,Biography
Flipped,5,7.7,0.45,81446,90,Comedy
Toki o kakeru shôjo,7,7.7,0,60368,98,Animation
Death Note: Desu nôto,1,7.7,0,28630,126,Crime
This Is England,1,7.7,0.86,115576,101,Crime
Ex Machina,0,7.7,0.78,474141,108,Drama
Efter brylluppet,0,7.7,0.78,32001,120,Drama
The Last King of Scotland,3,7.7,0.74,175355,123,Biography
Zodiac,1,7.7,0.78,466080,157,Crime
Lucky Number Slevin,2,7.7,0.53,299524,110,Action
Joyeux Noël,0,7.7,0.7,28003,116,Drama
Control,3,7.7,0.78,61609,122,Biography
Tangled,7,7.7,0.71,405922,100,Animation
Zwartboek,0,7.7,0.71,72643,145,Drama
Brokeback Mountain,0,7.7,0.87,323103,134,Drama
3:10 to Yuma,2,7.7,0.76,288797,122,Action
Crash,1,7.7,0.66,419483,112,Crime
Kung fu,2,7.7,0.78,127250,99,Action
The Bourne Supremacy,2,7.7,0.73,434841,108,Action
The Machinist,0,7.7,0.61,358432,101,Drama
Ray,3,7.7,0.73,138356,152,Biography
Lost in Translation,5,7.7,0.89,415074,102,Comedy
Harry Potter and the Goblet of Fire,6,7.7,0.81,548619,157,Adventure
Man on Fire,2,7.7,0.47,329592,146,Action
Coraline,7,7.7,0.8,197761,100,Animation
The Last Samurai,2,7.7,0.55,400049,154,Action
The Magdalene Sisters,0,7.7,0.83,25938,114,Drama
Good Bye Lenin!,5,7.7,0.68,137981,121,Comedy
In America,0,7.7,0.76,40403,105,Drama
I Am Sam,0,7.7,0.28,142863,132,Drama
Adaptation.,5,7.7,0.83,178565,115,Comedy
Black Hawk Down,0,7.7,0.74,364254,144,Drama
Road to Perdition,1,7.7,0.72,246840,117,Crime
Das Experiment,0,7.7,0.6,90842,120,Drama
Billy Elliot,0,7.7,0.74,126770,110,Drama
Hedwig and the Angry Inch,5,7.7,0.85,31957,95,Comedy
Ocean's Eleven,1,7.7,0.74,516372,116,Crime
Vampire Hunter D: Bloodlust,7,7.7,0.62,29210,103,Animation
"O Brother, Where Art Thou?",6,7.7,0.69,286742,107,Adventure
Interstate 60: Episodes of the Road,6,7.7,0,29999,116,Adventure
"South Park: Bigger, Longer & Uncut",7,7.7,0.73,192112,81,Animation
Office Space,5,7.7,0.68,241575,89,Comedy
Happiness,5,7.7,0.81,66408,134,Comedy
Training Day,1,7.7,0.69,390247,122,Crime
Rushmore,5,7.7,0.86,169229,93,Comedy
Abre los ojos,0,7.7,0,64082,119,Drama
Being John Malkovich,5,7.7,0.9,312542,113,Comedy
As Good as It Gets,5,7.7,0.67,275755,139,Comedy
The Fifth Element,2,7.7,0.52,434125,126,Action
Le dîner de cons,5,7.7,0.73,37424,80,Comedy
Donnie Brasco,3,7.7,0.76,279318,127,Biography
Shine,3,7.7,0.87,51350,105,Biography
Primal Fear,1,7.7,0.47,189716,129,Crime
Hamlet,0,7.7,0,35991,242,Drama
A Little Princess,0,7.7,0.83,32236,97,Drama
Do lok tin si,5,7.7,0.71,26429,99,Comedy
Il postino,3,7.7,0.81,33600,108,Biography
Clerks,5,7.7,0.7,211450,92,Comedy
Short Cuts,5,7.7,0.79,42275,188,Comedy
Philadelphia,0,7.7,0.66,224169,125,Drama
The Muppet Christmas Carol,5,7.7,0.64,50298,85,Comedy
Malcolm X,3,7.7,0.73,85819,202,Biography
The Last of the Mohicans,2,7.7,0.76,150409,112,Action
Kurenai no buta,7,7.7,0.83,77798,94,Animation
Glengarry Glen Ross,1,7.7,0.82,95826,100,Crime
A Few Good Men,0,7.7,0.62,235388,138,Drama
Fried Green Tomatoes,0,7.7,0.64,66941,130,Drama
Barton Fink,5,7.7,0.69,113240,116,Comedy
Miller's Crossing,1,7.7,0.66,125822,115,Crime
Who Framed Roger Rabbit,7,7.7,0.83,182009,104,Animation
Spoorloos,9,7.7,0,33982,107,Mystery
Withnail & I,5,7.7,0.84,40396,107,Comedy
The Last Emperor,3,7.7,0.76,94326,163,Biography
Empire of the Sun,2,7.7,0.62,115677,153,Action
Der Name der Rose,1,7.7,0.54,102031,130,Crime
Blue Velvet,0,7.7,0.76,181285,120,Drama
The Purple Rose of Cairo,5,7.7,0.75,47102,82,Comedy
After Hours,5,7.7,0.9,59635,97,Comedy
Zelig,5,7.7,0,39881,79,Comedy
The Verdict,0,7.7,0.77,36096,129,Drama
Star Trek II: The Wrath of Khan,2,7.7,0.67,112704,113,Action
First Blood,2,7.7,0.61,226541,93,Action
Ordinary People,0,7.7,0.86,47099,124,Drama
Airplane!,5,7.7,0.78,214882,88,Comedy
Rupan sansei: Kariosutoro no shiro,7,7.7,0.71,27014,100,Animation
Halloween,8,7.7,0.87,233106,91,Horror
Le locataire,0,7.7,0.71,39889,126,Drama
Love and Death,5,7.7,0.89,36037,85,Comedy
The Taking of Pelham One Two Three,2,7.7,0.68,26729,104,Action
Blazing Saddles,5,7.7,0.73,125993,93,Comedy
Serpico,3,7.7,0.87,109941,130,Biography
Enter the Dragon,2,7.7,0.83,96561,102,Action
Deliverance,6,7.7,0.8,98740,109,Adventure
The French Connection,2,7.7,0.94,110075,104,Action
Dirty Harry,2,7.7,0.9,143292,102,Action
Where Eagles Dare,2,7.7,0.63,51913,158,Action
The Odd Couple,5,7.7,0.86,31572,105,Comedy
The Dirty Dozen,2,7.7,0.73,67183,150,Action
Belle de jour,0,7.7,0,40274,100,Drama
A Man for All Seasons,3,7.7,0.72,31222,120,Biography
Repulsion,0,7.7,0.91,48883,105,Drama
Zulu,0,7.7,0.77,35999,138,Drama
Goldfinger,2,7.7,0.87,174119,110,Action
The Birds,0,7.7,0.9,171739,119,Drama
Cape Fear,0,7.7,0.76,26457,106,Drama
Peeping Tom,0,7.7,0,31354,101,Drama
The Magnificent Seven,2,7.7,0.74,87719,128,Action
Les yeux sans visage,0,7.7,0.9,27620,90,Drama
Invasion of the Body Snatchers,0,7.7,0.92,44839,80,Drama
Rebel Without a Cause,0,7.7,0.89,83363,111,Drama
The Ladykillers,5,7.7,0.91,26464,91,Comedy
Sabrina,5,7.7,0.72,59415,113,Comedy
The Quiet Man,5,7.7,0,34677,129,Comedy
The Day the Earth Stood Still,0,7.7,0,76315,92,Drama
The African Queen,6,7.7,0.91,71481,105,Adventure
Gilda,0,7.7,0,27991,110,Drama
Fantasia,7,7.7,0.96,88662,125,Animation
The Invisible Man,8,7.7,0.87,30683,71,Horror
Dark Waters,3,7.6,0.73,60408,126,Biography
Searching,0,7.6,0.71,140840,102,Drama
Once Upon a Time... in Hollywood,5,7.6,0.83,551309,161,Comedy
Nelyubov,0,7.6,0.86,29765,127,Drama
The Florida Project,0,7.6,0.92,95181,111,Drama
Just Mercy,3,7.6,0.68,46739,137,Biography
Gifted,0,7.6,0.6,99643,101,Drama
The Peanut Butter Falcon,6,7.6,0.7,66346,97,Adventure
Victoria,1,7.6,0.77,52903,138,Crime
Mustang,0,7.6,0.83,35785,97,Drama
Guardians of the Galaxy Vol. 2,2,7.6,0.67,569974,136,Action
Baby Driver,2,7.6,0.86,439406,113,Action
Only the Brave,2,7.6,0.72,58371,134,Action
Bridge of Spies,0,7.6,0.81,287659,142,Drama
Incredibles 2,7,7.6,0.8,250057,118,Animation
Moana,7,7.6,0.81,272784,107,Animation
Sicario,2,7.6,0.82,371291,121,Action
Creed,0,7.6,0.82,247666,133,Drama
Leviafan,1,7.6,0.92,49397,140,Crime
Hell or High Water,2,7.6,0.88,204175,102,Action
Philomena,3,7.6,0.77,94212,98,Biography
Dawn of the Planet of the Apes,2,7.6,0.79,411599,130,Action
El cuerpo,9,7.6,0,57549,112,Mystery
Serbuan maut,2,7.6,0.73,190531,101,Action
End of Watch,2,7.6,0.68,228132,109,Action
Kari-gurashi no Arietti,7,7.6,0.8,80939,94,Animation
A Star Is Born,0,7.6,0.88,334312,136,Drama
True Grit,0,7.6,0.8,311822,110,Drama
Hævnen,0,7.6,0.65,38491,118,Drama
Despicable Me,7,7.6,0.72,500851,95,Animation
50/50,5,7.6,0.72,315426,100,Comedy
Kick-Ass,2,7.6,0.66,524081,117,Action
Celda 211,2,7.6,0,63882,113,Action
Moneyball,3,7.6,0.87,369529,133,Biography
La piel que habito,0,7.6,0.7,138959,120,Drama
Zombieland,6,7.6,0.73,520041,88,Adventure
Die Welle,0,7.6,0,102742,107,Drama
Sherlock Holmes,2,7.6,0.57,583158,128,Action
The Blind Side,3,7.6,0.53,293266,129,Biography
The Visitor,0,7.6,0.79,41544,104,Drama
Seven Pounds,0,7.6,0.36,286770,123,Drama
Eastern Promises,2,7.6,0.82,227760,100,Action
Stardust,6,7.6,0.66,255036,127,Adventure
The Secret of Kells,7,7.6,0.81,31779,71,Animation
Inside Man,1,7.6,0.76,339757,129,Crime
Gone Baby Gone,1,7.6,0.72,250590,114,Crime
La Vie En Rose,3,7.6,0.66,82781,140,Biography
Huo Yuan Jia,2,7.6,0.7,72863,104,Action
The Illusionist,0,7.6,0.68,354728,110,Drama
Dead Man's Shoes,1,7.6,0.52,49728,90,Crime
Harry Potter and the Half-Blood Prince,2,7.6,0.78,474827,153,Action
300,2,7.6,0.52,732876,117,Action
Match Point,0,7.6,0.72,206294,124,Drama
Watchmen,2,7.6,0.56,500799,162,Action
Lord of War,2,7.6,0.62,294140,122,Action
Saw,8,7.6,0.46,379020,103,Horror
"Synecdoche, New York",0,7.6,0.67,83158,124,Drama
Mysterious Skin,0,7.6,0.73,65939,105,Drama
Jeux d'enfants,5,7.6,0.45,67360,93,Comedy
Un long dimanche de fiançailles,0,7.6,0.76,70925,133,Drama
The Station Agent,5,7.6,0.81,67370,89,Comedy
21 Grams,1,7.6,0.7,224545,124,Crime
Boksuneun naui geot,1,7.6,0.56,62659,129,Crime
Finding Neverland,3,7.6,0.67,198677,106,Biography
25th Hour,0,7.6,0.68,169708,135,Drama
The Butterfly Effect,0,7.6,0.3,451479,113,Drama
28 Days Later...,0,7.6,0.73,376853,113,Drama
Batoru rowaiaru,2,7.6,0.81,169091,114,Action
The Royal Tenenbaums,5,7.6,0.76,266842,110,Comedy
Y tu mamá también,0,7.6,0.88,115827,106,Drama
Harry Potter and the Sorcerer's Stone,6,7.6,0.64,658185,152,Adventure
The Others,8,7.6,0.74,337651,101,Horror
Blow,3,7.6,0.52,240714,124,Biography
Enemy at the Gates,0,7.6,0.53,243729,131,Drama
Minority Report,2,7.6,0.8,508417,145,Action
The Hurricane,3,7.6,0.74,91557,146,Biography
American Psycho,5,7.6,0.64,490062,101,Comedy
Lola rennt,1,7.6,0.77,188317,81,Crime
The Thin Red Line,0,7.6,0.78,172710,170,Drama
Mulan,7,7.6,0.71,256906,88,Animation
Fear and Loathing in Las Vegas,6,7.6,0.41,259753,118,Adventure
Funny Games,1,7.6,0.69,65058,108,Crime
Dark City,9,7.6,0.66,187927,100,Mystery
Sleepers,1,7.6,0.49,186734,147,Crime
Lost Highway,9,7.6,0.52,131101,134,Mystery
Sense and Sensibility,0,7.6,0.84,102598,136,Drama
Die Hard: With a Vengeance,2,7.6,0.58,364420,128,Action
Dead Man,6,7.6,0.62,90442,121,Adventure
The Bridges of Madison County,0,7.6,0.69,73172,135,Drama
Apollo 13,6,7.6,0.77,269197,140,Adventure
Trois couleurs: Blanc,5,7.6,0.88,64390,92,Comedy
Falling Down,2,7.6,0.56,171640,113,Action
Dazed and Confused,5,7.6,0.78,165465,102,Comedy
My Cousin Vinny,5,7.6,0.68,107325,120,Comedy
Omohide poro poro,7,7.6,0.9,27071,118,Animation
Delicatessen,5,7.6,0.66,80487,99,Comedy
Home Alone,5,7.6,0.63,488817,103,Comedy
The Godfather: Part III,1,7.6,0.6,359809,162,Crime
When Harry Met Sally...,5,7.6,0.76,195663,95,Comedy
The Little Mermaid,7,7.6,0.88,237696,83,Animation
The Naked Gun: From the Files of Police Squad!,5,7.6,0.76,152871,85,Comedy
"Planes, Trains & Automobiles",5,7.6,0.72,124773,93,Comedy
Lethal Weapon,2,7.6,0.68,236894,109,Action
Blood Simple,1,7.6,0.82,87745,99,Crime
On Golden Pond,0,7.6,0.68,27650,109,Drama
Mad Max 2,2,7.6,0.77,166588,96,Action
The Warriors,2,7.6,0.65,93878,92,Action
The Muppet Movie,6,7.6,0.74,32802,95,Adventure
Escape from Alcatraz,2,7.6,0.76,121731,112,Action
Watership Down,7,7.6,0.64,33656,91,Animation
Midnight Express,3,7.6,0.59,73662,121,Biography
Close Encounters of the Third Kind,0,7.6,0.9,184966,138,Drama
The Long Goodbye,5,7.6,0.87,26337,112,Comedy
Giù la testa,0,7.6,0.77,30144,157,Drama
Kelly's Heroes,6,7.6,0.5,45338,144,Adventure
The Jungle Book,7,7.6,0.65,166409,78,Animation
Blowup,0,7.6,0.82,56513,111,Drama
A Hard Day's Night,5,7.6,0.96,40351,87,Comedy
Breakfast at Tiffany's,5,7.6,0.76,166544,115,Comedy
Giant,0,7.6,0.84,34075,201,Drama
From Here to Eternity,0,7.6,0.85,43374,118,Drama
Lifeboat,0,7.6,0.78,26471,97,Drama
The 39 Steps,1,7.6,0.93,51853,86,Crime
